instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.xlarge,t,General purpose,eu-west-3,1.0,xen,x86_64,Intel,Intel Xeon Family,4.0,16.0,EBS only,unsupported,0.2112,0.2688,0.2522,0.1072,0.1648,0.1482
t3.xlarge,t,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,4.0,16.0,EBS only,unsupported,0.1888,0.2464,0.2624,0.0816,0.1392,0.1552
t3a.xlarge,t,General purpose,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,4.0,16.0,EBS only,unsupported,0.1699,0.2275,0.2435,0.0734,0.131,0.147
t4g.xlarge,t,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,16.0,EBS only,unsupported,0.1504,0.208,,0.0648,0.1224,
is4gen.xlarge,is4gen,Storage optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,24.0,1 x 3750 SSD,unsupported,0.6706,0.7282,,0.2905,0.3482,
d2.xlarge,d2,Storage optimized,eu-west-3,0.0,xen,x86_64,Intel,Intel Xeon E5-2676 v3 (Haswell),4.0,30.5,3 x 2000 HDD,unsupported,0.772,0.83,0.956,,,
i3.xlarge,i3,Storage optimized,eu-west-3,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),4.0,30.5,1 x 950 NVMe SSD,unsupported,0.362,0.42,0.546,0.175,0.233,0.359
r4.xlarge,r4,Memory optimized,eu-west-3,0.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),4.0,30.5,EBS only,unsupported,0.312,0.3696,0.496,0.1355,0.1931,0.3195
d3.xlarge,d3,Storage optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,3 x 2000 HDD,supported,0.64,0.7,0.824,0.276,0.336,0.46
i3en.xlarge,i3en,Storage optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,32.0,1 x 2500 NVMe SSD,supported,0.526,0.584,0.71,0.228,0.286,0.412
i4i.xlarge,i4i,Storage optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,32.0,1 x 937 NVMe SSD,supported,0.398,0.456,0.582,0.184,0.241,0.368
r5.xlarge,r5,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,32.0,EBS only,supported,0.296,0.354,0.48,0.128,0.185,0.312
r5a.xlarge,r5a,Memory optimized,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,4.0,32.0,EBS only,supported,0.266,0.324,0.45,0.115,0.173,0.299
r5ad.xlarge,r5ad,Memory optimized,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,4.0,32.0,1 x 150 NVMe SSD,supported,0.306,0.364,0.49,0.132,0.19,0.316
r5d.xlarge,r5d,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,32.0,1 x 150 NVMe SSD,supported,0.338,0.396,0.522,0.146,0.204,0.33
r5dn.xlarge,r5dn,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,1 x 150 NVMe SSD,supported,0.392,0.4496,0.576,0.1638,0.2214,0.3478
r5n.xlarge,r5n,Memory optimized,eu-west-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,EBS only,supported,0.35,0.408,0.534,0.148,0.206,0.332
r6g.xlarge,r6g,Memory optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,32.0,EBS only,supported,0.236,0.2936,,0.1015,0.1591,
r6gd.xlarge,r6gd,Memory optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,32.0,1 x 237 NVMe SSD,supported,0.2704,0.328,,0.1168,0.1744,
