instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0404,0.0548,,0.0174,0.0318,
c6gn.medium,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0516,0.066,,0.0221,0.0365,
c7g.medium,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0428,0.0572,,0.0193,0.0793,
m6g.medium,m6g,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0448,0.0592,,0.0194,0.0338,
m6gd.medium,m6gd,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0528,0.0672,,0.0228,0.0372,
r6g.medium,r6g,Memory optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0592,0.0736,,0.0255,0.0399,
r7g.medium,r7g,Memory optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0628,0.0772,,0.0284,0.0884,
t3.nano,t,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.006,,0.0106,0.0026,,0.0072
t3a.nano,t,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0054,,0.01,0.0023,,0.0069
t4g.nano,t,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0048,,,0.0021,,
t3.micro,t,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.012,0.0408,0.0212,0.0052,0.034,0.0144
t3a.micro,t,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,1.0,EBS only,unsupported,0.0108,0.0396,0.02,0.0047,0.0335,0.0139
t4g.micro,t,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0096,0.0384,,0.0041,0.0329,
t3.small,t,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.024,0.0528,0.0424,0.0104,0.0392,0.0288
t3a.small,t,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,2.0,EBS only,unsupported,0.0216,0.0504,0.04,0.0093,0.0381,0.0277
t4g.small,t,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0192,0.048,,0.0083,0.0371,
c5.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.101,0.13,0.193,0.044,0.072,0.136
c5a.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,EBS only,unsupported,0.091,0.12,0.183,0.039,0.068,0.131
c5ad.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,1 x 75 NVMe SSD,unsupported,0.103,0.132,0.195,0.044,0.073,0.136
c5d.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.114,0.143,0.206,0.049,0.078,0.141
c6g.large,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0808,0.1096,,0.0347,0.0635,
c6gn.large,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.1032,0.132,,0.0443,0.0731,
c6i.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.101,0.1298,0.193,0.0458,0.0746,0.1378
c6in.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1354,0.1643,0.2275,0.0563,0.0851,0.1483
c7g.large,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0856,0.1144,,0.0387,0.0987,
t3.medium,t,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0479,0.0767,0.0663,0.0207,0.0495,0.0391
t3a.medium,t,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,4.0,EBS only,unsupported,0.0431,0.0719,0.0615,0.0186,0.0474,0.037
t4g.medium,t,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0384,0.0672,,0.0166,0.0454,
c5n.large,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,5.25,EBS only,unsupported,0.129,0.158,0.221,0.054,0.082,0.146
m5.large,m5,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.112,0.141,0.204,0.048,0.077,0.14
m5a.large,m5a,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,8.0,EBS only,unsupported,0.101,0.13,0.193,0.044,0.072,0.136
m5d.large,m5d,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.132,0.161,0.224,0.057,0.086,0.149
m6a.large,m6a,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,2.0,8.0,EBS only,unsupported,0.1008,0.1296,0.1928,0.0457,0.0745,0.1377
m6g.large,m6g,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.0896,0.1184,,0.0388,0.0676,
m6gd.large,m6gd,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1056,0.1344,,0.0456,0.0744,
m6i.large,m6i,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,EBS only,unsupported,0.112,0.1408,0.204,0.0508,0.0796,0.1428
t3.large,t,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,8.0,EBS only,unsupported,0.0958,0.1246,0.1234,0.0414,0.0702,0.069
t3a.large,t,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,8.0,EBS only,unsupported,0.0862,0.115,0.1138,0.0373,0.0661,0.0649
t4g.large,t,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,unsupported,0.0768,0.1056,,0.0331,0.0619,
i3.large,i3,Storage optimized,eu-south-1,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),2.0,15.25,1 x 475 NVMe SSD,unsupported,0.181,0.21,0.273,0.089,0.117,0.181
i3en.large,i3en,Storage optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 1250 NVMe SSD,unsupported,0.262,0.291,0.354,0.115,0.144,0.207
i4i.large,i4i,Storage optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,1 x 468 NVMe SSD,unsupported,0.199,0.228,0.291,0.093,0.122,0.185
r5.large,r5,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,EBS only,unsupported,0.148,0.177,0.24,0.064,0.093,0.156
r5a.large,r5a,Memory optimized,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,16.0,EBS only,unsupported,0.133,0.162,0.225,0.057,0.086,0.149
r5b.large,r5b,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),2.0,16.0,EBS only,unsupported,0.175,0.2038,0.267,0.0709,0.0997,0.1629
r5d.large,r5d,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 75 NVMe SSD,unsupported,0.168,0.197,0.26,0.073,0.101,0.165
r5dn.large,r5dn,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),2.0,16.0,1 x 75 NVMe SSD,unsupported,0.196,0.2248,0.288,0.0817,0.1105,0.1737
r5n.large,r5n,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),2.0,16.0,EBS only,unsupported,0.175,0.204,0.267,0.071,0.1,0.163
r6g.large,r6g,Memory optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,16.0,EBS only,supported,0.1184,0.1472,,0.051,0.0798,
r6i.large,r6i,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,EBS only,unsupported,0.148,0.1768,0.24,0.0639,0.0927,0.1559
r7g.large,r7g,Memory optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,16.0,EBS only,supported,0.1255,0.1543,,0.0568,0.1168,
r7i.large,r7i,Memory optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,16.0,EBS only,unsupported,0.1554,0.1842,0.2474,0.0671,0.0959,0.1591
c5.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,EBS only,supported,0.202,0.26,0.386,0.087,0.145,0.271
c5a.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,4.0,8.0,EBS only,supported,0.182,0.24,0.366,0.079,0.136,0.263
c5ad.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,4.0,8.0,1 x 150 NVMe SSD,supported,0.206,0.264,0.39,0.089,0.147,0.273
c5d.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,1 x 100 NVMe SSD,supported,0.228,0.286,0.412,0.098,0.156,0.282
c6g.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,8.0,EBS only,supported,0.1616,0.2192,,0.0695,0.1271,
c6gn.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,8.0,EBS only,supported,0.2064,0.264,,0.0886,0.1462,
c6i.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,8.0,EBS only,supported,0.202,0.2596,0.386,0.0916,0.1492,0.2756
c6in.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,8.0,EBS only,supported,0.2709,0.3285,0.4549,0.1127,0.1703,0.2967
c7g.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,4.0,8.0,EBS only,supported,0.1713,0.2289,,0.0773,0.1373,
inf1.xlarge,inf1,Machine Learning ASIC Instances,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8275CL (Cascade Lake),4.0,8.0,EBS only,supported,0.267,0.325,,0.128,0.186,
c5n.xlarge,c,Compute optimized,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,10.5,EBS only,supported,0.258,0.316,0.442,0.107,0.165,0.291
g4dn.xlarge,g4dn,GPU instance,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Family,4.0,16.0,125 GB NVMe SSD,supported,0.616,0.673,0.8,0.266,0.324,0.45
m5.xlarge,m5,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,16.0,EBS only,supported,0.224,0.282,0.408,0.097,0.154,0.281
m5a.xlarge,m5a,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,4.0,16.0,EBS only,supported,0.202,0.26,0.386,0.087,0.145,0.271
m5d.xlarge,m5d,General purpose,eu-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,4.0,16.0,1 x 150 NVMe SSD,supported,0.264,0.322,0.448,0.114,0.172,0.298
m6a.xlarge,m6a,General purpose,eu-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,4.0,16.0,EBS only,supported,0.2016,0.2592,0.3856,0.0915,0.149,0.2754
m6g.xlarge,m6g,General purpose,eu-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,16.0,EBS only,supported,0.1792,0.2368,,0.0776,0.1352,
