instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,eu-central-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0067,,0.009,0.0035,,0.0058
t2.micro,t,General purpose,eu-central-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0134,0.0278,0.018,0.0069,0.0214,0.0115
a1.medium,a1,General purpose,eu-central-1,0.0,nitro,arm64,AWS,AWS Graviton Processor,1.0,2.0,EBS only,unsupported,0.0291,0.0435,,0.0126,0.027,
c6g.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0388,0.0532,,0.0168,0.0312,
c6gd.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0445,0.0589,,0.0194,0.0338,
c6gn.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0493,0.0637,,0.0251,0.0395,
c7a.medium,c,Compute optimized,eu-central-1,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,2.0,EBS only,unsupported,0.0586,0.073,0.1046,0.0266,0.041,0.0726
c7g.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0412,0.0556,,0.0187,0.0331,
c7gd.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0525,0.0669,,0.0227,0.0371,
c8g.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0454,0.0597,,0.0206,0.035,
c8gd.medium,c,Compute optimized,eu-central-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0566,0.0711,,,,
