instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6i.24xlarge,c,Compute optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),96.0,192.0,EBS only,supported,5.472,6.5088,9.888,2.3639,3.4007,6.7799
c6in.24xlarge,c,Compute optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),96.0,192.0,EBS only,supported,7.3181,8.3549,11.7341,3.0421,4.0789,7.4581
inf1.24xlarge,inf1,Machine Learning ASIC Instances,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8275CL (Cascade Lake),96.0,192.0,EBS only,supported,6.249,7.286,,3.003,4.04,
g4dn.metal,g4dn,GPU instance,af-south-1,1.0,,x86_64,Intel,Intel Xeon Family,96.0,384.0,2 x 900 GB NVMe SSD,unsupported,10.381,11.418,14.797,4.485,5.521,8.901
m5.24xlarge,m5,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,96.0,384.0,EBS only,supported,6.096,7.133,10.512,2.633,3.67,7.049
m5.metal,m5,General purpose,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8175,96.0,384.0,EBS only,unsupported,6.096,7.133,10.512,2.633,3.67,7.049
m5d.24xlarge,m5d,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,96.0,384.0,4 x 900 NVMe SSD,supported,7.2,8.237,11.616,3.11,4.147,7.526
m5d.metal,m5d,General purpose,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8175,96.0,384.0,4 x 900 NVMe SSD,unsupported,7.2,8.237,11.616,3.11,4.147,7.526
m6i.24xlarge,m6i,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),96.0,384.0,EBS only,supported,6.096,7.1328,10.512,2.6335,3.6703,7.0495
i3en.24xlarge,i3en,Storage optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,96.0,768.0,8 x 7500 NVMe SSD,supported,14.256,15.293,18.672,6.267,7.304,10.683
i3en.metal,i3en,Storage optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8175,96.0,768.0,8 x 7500 NVMe SSD,unsupported,14.256,15.293,18.672,6.267,7.304,10.683
i4i.24xlarge,i4i,Storage optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),96.0,768.0,6 x 3750 NVMe SSD,supported,10.824,11.8608,15.24,5.0622,6.099,9.4782
r5.24xlarge,r5,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,96.0,768.0,EBS only,supported,8.064,9.101,12.48,3.484,4.52,7.9
r5.metal,r5,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8175,96.0,768.0,EBS only,unsupported,8.064,9.101,12.48,3.484,4.52,7.9
r5d.24xlarge,r5d,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,96.0,768.0,4 x 900 NVMe SSD,supported,9.12,10.157,13.536,3.94,4.977,8.356
r5d.metal,r5d,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8175,96.0,768.0,4 x 900 NVMe SSD,unsupported,9.12,10.157,13.536,3.94,4.977,8.356
r5dn.24xlarge,r5dn,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,4 x 900 NVMe SSD,supported,10.608,11.6448,15.024,4.3535,5.3903,8.7695
r5dn.metal,r5dn,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,4 x 900 NVMe SSD,unsupported,10.608,11.6448,15.024,4.3535,5.3903,8.7695
r5n.24xlarge,r5n,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,EBS only,supported,9.536,10.573,13.952,3.862,4.899,8.278
r5n.metal,r5n,Memory optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,EBS only,unsupported,9.536,10.573,13.952,3.862,4.899,8.278
r6i.24xlarge,r6i,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),96.0,768.0,EBS only,supported,8.064,9.1008,12.48,3.4836,4.5205,7.8997
x2idn.24xlarge,x2idn,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Icelake),96.0,1536.0,2 x 1425 NVMe SSD,supported,14.286,15.3228,18.702,4.5824,5.6192,8.9984
x2iedn.24xlarge,x2iedn,Memory optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Icelake),96.0,3072.0,2 x 1425 NVMe SSD,supported,28.572,29.6088,32.988,9.1647,10.2015,13.5808
c6i.32xlarge,c,Compute optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,256.0,EBS only,supported,7.296,8.5248,13.184,3.1519,4.3807,9.0399
c6i.metal,c,Compute optimized,af-south-1,1.0,,x86_64,Intel,Intel Xeon 8375C (Ice Lake),128.0,256.0,EBS only,unsupported,7.296,8.5248,13.184,3.1519,4.3807,9.0399
