instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c5ad.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,8.0,16.0,1 x 300 NVMe SSD,supported,0.432,0.547,0.8,0.187,0.302,0.555
c5d.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,8.0,16.0,1 x 200 NVMe SSD,supported,0.48,0.595,0.848,0.207,0.322,0.575
c6g.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,16.0,EBS only,supported,0.34,0.4552,,0.1469,0.2621,
c6gn.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,8.0,16.0,EBS only,supported,0.4288,0.544,,0.1841,0.2993,
c6i.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,16.0,EBS only,supported,0.4224,0.5376,0.7904,0.1916,0.3068,0.5596
c6in.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),8.0,16.0,EBS only,supported,0.5628,0.678,0.9308,0.2359,0.3511,0.6039
inf1.2xlarge,inf1,Machine Learning ASIC Instances,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8275CL (Cascade Lake),8.0,16.0,EBS only,supported,0.444,0.559,,0.213,0.328,
c5n.2xlarge,c,Compute optimized,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,8.0,21.0,EBS only,supported,0.536,0.651,0.904,0.225,0.34,0.593
g4dn.2xlarge,g4dn,GPU instance,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Family,8.0,32.0,225 GB NVMe SSD,supported,0.922,1.038,1.29,0.398,0.514,0.766
m5.2xlarge,m5,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,8.0,32.0,EBS only,supported,0.471,0.586,0.839,0.203,0.319,0.571
