instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,ap-southeast-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0073,,0.0096,0.0031,,0.0054
t1.micro,t,Micro instances,ap-southeast-1,0.0,xen,"i386, x86_64",Intel,Variable,1.0,0.61,EBS only,unsupported,0.02,0.03,0.02,,,
t2.micro,t,General purpose,ap-southeast-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0146,0.029,0.0192,0.0062,0.0206,0.0108
m1.small,m1,General purpose,ap-southeast-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.7,1 x 160 SSD,unsupported,0.058,0.072,0.093,,,
a1.medium,a1,General purpose,ap-southeast-1,0.0,nitro,arm64,AWS,AWS Graviton Processor,1.0,2.0,EBS only,unsupported,0.0294,0.0438,,0.0127,0.0271,
c6g.medium,c,Compute optimized,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0392,0.0536,,0.0169,0.0313,
c6gd.medium,c,Compute optimized,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.045,0.0594,,0.0194,0.0338,
c6gn.medium,c,Compute optimized,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0495,0.0639,,0.023,0.0374,
c7g.medium,c,Compute optimized,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0417,0.0561,,0.0189,0.0333,
c7gd.medium,c,Compute optimized,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0529,0.0673,,0.0229,0.0373,
t2.small,t,General purpose,ap-southeast-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0292,0.0436,0.0384,0.0124,0.0268,0.0216
m1.medium,m1,General purpose,ap-southeast-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,3.7,1 x 410 SSD,unsupported,0.117,0.131,0.187,,,
m3.medium,m3,General purpose,ap-southeast-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),1.0,3.75,1 x 4 SSD,unsupported,0.098,0.112,0.161,,,
m6g.medium,m6g,General purpose,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.048,0.0624,,0.0207,0.0351,
m6gd.medium,m6gd,General purpose,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0565,0.0709,,0.0243,0.0387,
m7g.medium,m7g,General purpose,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.051,0.0654,,0.0231,0.0375,
m7gd.medium,m7gd,General purpose,ap-southeast-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0666,0.081,,0.0288,0.0432,
