instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,ap-south-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0062,,0.0085,0.0026,,0.0049
t2.micro,t,General purpose,ap-south-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0124,0.0268,0.017,0.0052,0.0196,0.0098
a1.medium,a1,General purpose,ap-south-1,0.0,nitro,arm64,AWS,AWS Graviton Processor,1.0,2.0,EBS only,unsupported,0.0255,0.0399,,0.011,0.0254,
c6g.medium,c,Compute optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0213,0.0357,,0.0092,0.0236,
c6gd.medium,c,Compute optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0245,0.0389,,0.0106,0.025,
c6gn.medium,c,Compute optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0432,0.0576,,0.02,0.0344,
c7g.medium,c,Compute optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0245,0.0389,,0.0111,0.0255,
c7gd.medium,c,Compute optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0288,0.0432,,0.0124,0.0268,
c8g.medium,c,Compute optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.027,0.0414,,0.0122,0.0266,
t2.small,t,General purpose,ap-south-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0248,0.0392,0.034,0.0105,0.0249,0.0197
m6g.medium,m6g,General purpose,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0253,0.0397,,0.0109,0.0253,
m6gd.medium,m6gd,General purpose,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0302,0.0446,,0.013,0.0274,
m7g.medium,m7g,General purpose,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0292,0.0436,,0.0133,0.0277,
m7gd.medium,m7gd,General purpose,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0355,0.0499,,0.0153,0.0297,
m8g.medium,m8g,General purpose,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,4.0,EBS only,unsupported,0.0321,0.0465,,0.0146,0.029,
is4gen.medium,is4gen,Storage optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,6.0,1 x 937 SSD,unsupported,0.1638,0.1782,,0.0716,0.0859,
r6g.medium,r6g,Memory optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0325,0.0469,,0.014,0.0284,
r6gd.medium,r6gd,Memory optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0374,0.0518,,0.0161,0.0305,
r7g.medium,r7g,Memory optimized,ap-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0375,0.0519,,0.017,0.0314,
