instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0333,0.0477,,0.0144,0.0288,
c6gn.medium,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0421,0.0565,,0.0195,0.0339,
c7g.medium,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0354,0.0498,,0.0161,0.0305,
c7gd.medium,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.045,0.0594,,0.0194,0.0338,
m6g.medium,m6g,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0408,0.0552,,0.0176,0.032,
m6gd.medium,m6gd,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.048,0.0624,,0.0207,0.0351,
m7g.medium,m7g,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0434,0.0578,,0.0197,0.0341,
m7gd.medium,m7gd,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0566,0.071,,0.0245,0.0389,
r6g.medium,r6g,Memory optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0517,0.0661,,0.0223,0.0367,
r7g.medium,r7g,Memory optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0549,0.0693,,0.0249,0.0393,
r7gd.medium,r7gd,Memory optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0699,0.0843,,0.0302,0.0446,
t3.nano,t,General purpose,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0059,,0.0105,0.0025,,0.0071
t4g.nano,t,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0048,,,0.002,,
t3.micro,t,General purpose,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0119,0.0407,0.0211,0.005,0.0338,0.0142
t4g.micro,t,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0095,0.0383,,0.004,0.0328,
t3.small,t,General purpose,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0238,0.0526,0.0422,0.0101,0.0389,0.0285
t4g.small,t,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0191,0.0479,,0.0081,0.0369,
c6g.large,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0666,0.0954,,0.0288,0.0576,
c6gn.large,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0842,0.113,,0.039,0.0678,
c6i.large,c,Compute optimized,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.0833,0.1121,0.1753,0.0378,0.0666,0.1298
c6id.large,c,Compute optimized,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,1 x 118 NVMe SSD,unsupported,0.1,0.1288,0.192,0.0432,0.072,0.1352
c6in.large,c,Compute optimized,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1107,0.1395,0.2027,0.0431,0.0719,0.1351
c7g.large,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0708,0.0996,,0.0321,0.0609,
c7gd.large,c,Compute optimized,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.09,0.1188,,0.0389,0.0677,
c7i-flex.large,c,Compute optimized,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.0831,0.1119,0.1705,0.0377,0.0665,0.1251
c7i.large,c,Compute optimized,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.0875,0.1163,0.1795,0.0397,0.0685,0.1317
t3.medium,t,General purpose,ap-southeast-5,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0475,0.0763,0.0659,0.0201,0.0489,0.0385
t4g.medium,t,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0382,0.067,,0.0162,0.045,
m6g.large,m6g,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.0816,0.1104,,0.0353,0.0641,
m6gd.large,m6gd,General purpose,ap-southeast-5,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.096,0.1248,,0.0413,0.0701,
