instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,eu-west-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0066,,0.0089,0.0034,,0.0057
t2.micro,t,General purpose,eu-west-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0132,0.0276,0.0178,0.0067,0.0211,0.0113
c6g.medium,c,Compute optimized,eu-west-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0404,0.0548,,0.0175,0.0319,
c6gd.medium,c,Compute optimized,eu-west-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.046,0.0604,,0.0199,0.0343,
c6gn.medium,c,Compute optimized,eu-west-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0512,0.0657,,0.0256,0.0401,
c7a.medium,c,Compute optimized,eu-west-2,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,2.0,EBS only,unsupported,0.061,0.0754,0.107,0.0277,0.0421,0.0737
c7g.medium,c,Compute optimized,eu-west-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0429,0.0573,,0.0195,0.0339,
c7gd.medium,c,Compute optimized,eu-west-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0543,0.0687,,0.0235,0.0379,
c8g.medium,c,Compute optimized,eu-west-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0472,0.0616,,0.0215,0.0359,
t2.small,t,General purpose,eu-west-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.026,0.0408,0.0352,0.0134,0.0278,0.0226
