instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0444,0.0588,,0.0192,0.0336,
m6g.medium,m6g,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.048,0.0624,,0.0207,0.0351,
m6gd.medium,m6gd,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.057,0.0714,,0.0243,0.0387,
m7g.medium,m7g,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.051,0.0654,,0.0231,0.0375,
r6g.medium,r6g,Memory optimized,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0604,0.0748,,0.0261,0.0405,
t3.nano,t,General purpose,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0066,,0.0112,0.0029,,0.0075
t4g.nano,t,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0053,,,0.0023,,
t3.micro,t,General purpose,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0132,0.042,0.0224,0.0057,0.0345,0.0149
t4g.micro,t,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0106,0.0394,,0.0046,0.0334,
t3.small,t,General purpose,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0264,0.0552,0.0448,0.0114,0.0402,0.0298
t4g.small,t,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0212,0.05,,0.0092,0.038,
c5.large,c,Compute optimized,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.111,0.14,0.203,0.048,0.077,0.14
c5d.large,c,Compute optimized,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.126,0.155,0.218,0.054,0.083,0.146
c6g.large,c,Compute optimized,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0888,0.1176,,0.0384,0.0672,
c6in.large,c,Compute optimized,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.148,0.1768,0.24,0.0624,0.0912,0.1544
t3.medium,t,General purpose,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0528,0.0816,0.0712,0.0228,0.0516,0.0412
t4g.medium,t,General purpose,ap-southeast-4,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0424,0.0712,,0.0184,0.0472,
m5.large,m5,General purpose,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.12,0.149,0.212,0.052,0.081,0.144
m5d.large,m5d,General purpose,ap-southeast-4,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.142,0.171,0.234,0.061,0.09,0.153
