instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,ap-northeast-3,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0076,,0.0099,0.0038,,0.0061
t2.micro,t,General purpose,ap-northeast-3,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0152,0.0296,0.0198,0.0075,0.0219,0.0121
c6g.medium,c,Compute optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.043,0.0574,,0.0184,0.0328,
c6gd.medium,c,Compute optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.049,0.0634,,0.0211,0.0355,
c6gn.medium,c,Compute optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0546,0.069,,0.0275,0.0419,
c7g.medium,c,Compute optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0455,0.0599,,0.0206,0.035,
t2.small,t,General purpose,ap-northeast-3,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0304,0.0448,0.0396,0.015,0.0294,0.0242
m6g.medium,m6g,General purpose,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0496,0.064,,0.0214,0.0358,
m6gd.medium,m6gd,General purpose,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0584,0.0728,,0.0252,0.0396,
m7g.medium,m7g,General purpose,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0527,0.0671,,0.0228,0.0372,
r6g.medium,r6g,Memory optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0608,0.0752,,0.0263,0.0407,
r6gd.medium,r6gd,Memory optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0696,0.084,,0.0301,0.0445,
r7g.medium,r7g,Memory optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0646,0.079,,0.0279,0.0423,
r7gd.medium,r7gd,Memory optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0822,0.0966,,0.0355,0.0499,
t3.nano,t,General purpose,ap-northeast-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0068,,0.0114,0.0029,,0.0075
t4g.nano,t,General purpose,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0054,,,0.0024,,
t3.micro,t,General purpose,ap-northeast-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0136,0.0424,0.0228,0.0059,0.0347,0.0151
t4g.micro,t,General purpose,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0109,0.0397,,0.0047,0.0335,
t3.small,t,General purpose,ap-northeast-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0272,0.056,0.0456,0.0118,0.0406,0.0302
t4g.small,t,General purpose,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0218,0.0506,,0.0094,0.0382,
c4.large,c,Compute optimized,ap-northeast-3,0.0,xen,x86_64,Intel,Intel Xeon E5-2666 v3 (Haswell),2.0,3.75,EBS only,unsupported,0.126,0.155,0.218,0.069,0.098,0.161
c5.large,c,Compute optimized,ap-northeast-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.107,0.136,0.199,0.046,0.075,0.138
c5d.large,c,Compute optimized,ap-northeast-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.122,0.151,0.214,0.053,0.082,0.145
c6g.large,c,Compute optimized,ap-northeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.086,0.1148,,0.0367,0.0655,
