instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,ap-southeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0073,,0.0096,0.0035,,0.0058
t1.micro,t,Micro instances,ap-southeast-2,0.0,xen,"i386, x86_64",Intel,Variable,1.0,0.61,EBS only,unsupported,0.02,0.03,0.02,,,
t2.micro,t,General purpose,ap-southeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0146,0.029,0.0192,0.0071,0.0215,0.0117
m1.small,m1,General purpose,ap-southeast-2,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.7,1 x 160 SSD,unsupported,0.058,0.072,0.093,,,
a1.medium,a1,General purpose,ap-southeast-2,0.0,nitro,arm64,AWS,AWS Graviton Processor,1.0,2.0,EBS only,unsupported,0.0333,0.0477,,0.0144,0.0288,
c6g.medium,c,Compute optimized,ap-southeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0444,0.0588,,0.0192,0.0336,
c6gd.medium,c,Compute optimized,ap-southeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0505,0.0649,,0.0216,0.036,
c6gn.medium,c,Compute optimized,ap-southeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0565,0.0709,,0.0262,0.0406,
c7g.medium,c,Compute optimized,ap-southeast-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0472,0.0616,,0.0214,0.0358,
c7gd.medium,c,Compute optimized,ap-southeast-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0595,0.0739,,0.0257,0.0401,
c8g.medium,c,Compute optimized,ap-southeast-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0519,0.0663,,0.0236,0.038,
t2.small,t,General purpose,ap-southeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0292,0.0436,0.0384,0.0141,0.0285,0.0233
m1.medium,m1,General purpose,ap-southeast-2,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,3.7,1 x 410 SSD,unsupported,0.117,0.131,0.187,,,
m3.medium,m3,General purpose,ap-southeast-2,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),1.0,3.75,1 x 4 SSD,unsupported,0.093,0.107,0.156,0.042,0.057,0.088
