instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.043,0.0574,,0.0189,0.0333,
c6gn.medium,c,Compute optimized,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0573,0.0717,,0.0265,0.0409,
c7g.medium,c,Compute optimized,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0455,0.0599,,0.0211,0.0811,
m6g.medium,m6g,General purpose,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.053,0.0674,,0.0227,0.0371,
m6gd.medium,m6gd,General purpose,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.062,0.0764,,0.0268,0.0412,
m7g.medium,m7g,General purpose,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0561,0.0705,,0.0254,0.0398,
r6g.medium,r6g,Memory optimized,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.067,0.0814,,0.0286,0.043,
r7g.medium,r7g,Memory optimized,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.071,0.0854,,0.0319,0.0919,
r7gd.medium,r7gd,Memory optimized,ap-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0827,0.0971,,0.0357,0.0501,
t3.nano,t,General purpose,ap-east-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0073,,0.0119,0.0031,,0.0077
