instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,ap-northeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0072,,0.0095,0.0032,,0.0055
t2.micro,t,General purpose,ap-northeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0144,0.0288,0.019,0.0063,0.0207,0.0109
c6g.medium,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0385,0.0529,,0.0167,0.0311,
c6gd.medium,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.044,0.0584,,0.019,0.0334,
c6gn.medium,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0488,0.0631,,0.0246,0.039,
c7g.medium,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0408,0.0552,,0.0185,0.0329,
t2.small,t,General purpose,ap-northeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0288,0.0432,0.038,0.0126,0.027,0.0218
m3.medium,m3,General purpose,ap-northeast-2,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),1.0,3.75,1 x 4 SSD,unsupported,0.091,0.151,0.137,,,
m6g.medium,m6g,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.047,0.0614,,0.0205,0.0349,
m6gd.medium,m6gd,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0556,0.07,,0.024,0.0384,
m7g.medium,m7g,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0502,0.0646,,0.0227,0.0371,
r6g.medium,r6g,Memory optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.061,0.0754,,0.0265,0.0409,
r6gd.medium,r6gd,Memory optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0692,0.0836,,0.0299,0.0443,
r7g.medium,r7g,Memory optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0646,0.079,,0.0294,0.0438,
t3.nano,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0065,,0.0111,0.0028,,0.0074
t3a.nano,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0059,,0.0105,0.0025,,0.0071
t4g.nano,t,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0052,,,0.0022,,
t3.micro,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.013,0.0418,0.0222,0.0056,0.0344,0.0148
t3a.micro,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,1.0,EBS only,unsupported,0.0117,0.0405,0.0209,0.0051,0.0339,0.0143
t4g.micro,t,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0104,0.0392,,0.0045,0.0333,
t3.small,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.026,0.0548,0.0444,0.0112,0.04,0.0296
t3a.small,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,2.0,EBS only,unsupported,0.0234,0.0522,0.0418,0.0101,0.0389,0.0285
t4g.small,t,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0208,0.0496,,0.009,0.0378,
c3.large,c,Compute optimized,ap-northeast-2,0.0,xen,"i386, x86_64",Intel,Intel Xeon E5-2680 v2 (Ivy Bridge),2.0,3.75,2 x 16 SSD,unsupported,0.115,0.175,0.207,,,
c4.large,c,Compute optimized,ap-northeast-2,0.0,xen,x86_64,Intel,Intel Xeon E5-2666 v3 (Haswell),2.0,3.75,EBS only,unsupported,0.114,0.143,0.206,0.059,0.088,0.151
c5.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.096,0.125,0.188,0.041,0.07,0.133
c5a.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,EBS only,unsupported,0.086,0.115,0.178,0.037,0.066,0.129
c5d.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.11,0.139,0.202,0.048,0.076,0.14
c6g.large,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.077,0.1058,,0.0335,0.0623,
c6gd.large,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.088,0.1168,,0.038,0.0668,
c6gn.large,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0975,0.1263,,0.0491,0.0779,
c6i.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.096,0.1248,0.188,0.0436,0.0724,0.1356
c6id.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,1 x 118 NVMe SSD,unsupported,0.1155,0.1443,0.2075,0.0499,0.0787,0.1419
c6in.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1281,0.1569,0.2201,0.0541,0.0829,0.1461
c7g.large,c,Compute optimized,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0816,0.1104,,0.0371,0.0659,
c7i-flex.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.0958,0.1246,0.1832,0.0435,0.0723,0.1309
c7i.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.1008,0.1296,0.1928,0.0458,0.0746,0.1378
t2.medium,t,General purpose,ap-northeast-2,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,2.0,4.0,EBS only,unsupported,0.0576,0.0864,0.0756,0.0253,0.0541,0.0433
t3.medium,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.052,0.0808,0.0704,0.0225,0.0513,0.0409
t3a.medium,t,General purpose,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,4.0,EBS only,unsupported,0.0468,0.0756,0.0652,0.0202,0.049,0.0386
t4g.medium,t,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0416,0.0704,,0.018,0.0468,
c5n.large,c,Compute optimized,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,5.25,EBS only,unsupported,0.122,0.151,0.214,0.052,0.08,0.144
m3.large,m3,General purpose,ap-northeast-2,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.0,7.5,1 x 32 SSD,unsupported,0.183,0.243,0.275,,,
m4.large,m4,General purpose,ap-northeast-2,0.0,xen,x86_64,Intel,Intel Xeon E5-2676 v3 (Haswell),2.0,8.0,EBS only,unsupported,0.123,0.1518,0.215,0.054,0.0828,0.146
m5.large,m5,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.118,0.147,0.21,0.051,0.08,0.143
m5a.large,m5a,General purpose,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,8.0,EBS only,unsupported,0.106,0.135,0.198,0.046,0.075,0.138
m5ad.large,m5ad,General purpose,ap-northeast-2,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.127,0.156,0.219,0.055,0.084,0.147
m5d.large,m5d,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.139,0.168,0.231,0.06,0.089,0.152
m5zn.large,m5zn,General purpose,ap-northeast-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8252,2.0,8.0,EBS only,unsupported,0.203,0.2318,0.295,0.088,0.1168,0.18
m6g.large,m6g,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.094,0.1228,,0.041,0.0698,
m6gd.large,m6gd,General purpose,ap-northeast-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1112,0.14,,0.048,0.0768,
